,Churn Label,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Latitude,Longitude,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,CityEncodedSortNormal,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Offer_Offer A,Offer_Offer B,Offer_Offer E,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,refundBinned_No Refund,refundBinned_Refund
0,1,0.8729115441681035,0,-0.6503623741877624,-1.2788969511601158,0,1,-0.6129311867614868,0,0,1,0,0,1,0,0,1,-0.834551450819651,-0.9887525513595348,-0.8847698169206231,-1.0382257227020804,-0.8804000042696106,0.7427047150349658,1.879976891193195,0,1,0,0,-0.48680034160157515,2.2012354377373318,-1.0111549676015112,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,1,0.7621814752244371,1,-0.31716224314794206,-0.993672332219549,1,1,-0.17216394678178984,0,1,0,0,0,0,0,1,1,0.5280253463154782,-0.7267965722412524,-0.4231914091700533,-0.7016179915516866,-0.8721126040896806,0.7294041829792677,1.641175934511102,0,1,1,1,0.5518348616398346,1.585087652454828,-1.0111549676015112,0,1,0,0,0,1,1,0,0,0,1,0,1,0
2,1,-1.032321855824445,0,-0.6503623741877624,-0.5862085908758822,1,1,1.5419308753614762,0,0,0,0,1,1,1,1,1,1.0198823365008416,-0.23291258398531406,-0.6438939201021706,-0.39211827271758803,-0.8459628005406611,0.7087592321932512,1.4620752169995321,0,1,0,1,2.6291052681226543,1.20054486986541,-1.0111549676015112,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3,1,0.7917658447895388,1,-0.31716224314794206,-0.3009839719353155,0,1,-0.41703463565939924,0,1,1,0,1,1,0,1,1,1.121244756775528,0.1033080144972521,-0.3013006935102304,-0.013719458848599925,-0.9158481728022896,0.6609859304553113,1.879976891193195,0,1,1,1,0.5518348616398346,0.2665607030549179,-0.9400834562583407,0,1,0,0,0,0,1,0,0,1,0,0,0,1
4,1,-1.3585951887424235,1,-0.31716224314794206,0.18797251767708462,1,1,-0.3190863601083555,0,0,0,0,0,0,0,1,1,0.39010598758106857,0.2593607930960572,-0.608141672398461,0.02372638435231847,-0.9013366155154274,0.8060134838084712,1.9993773695342416,0,1,1,1,0.5518348616398346,0.19503215251916803,-0.9628263398881552,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5,1,0.20092372118936522,0,-0.6503623741877624,-0.21949122366658214,1,1,-0.12318980900626794,0,0,1,0,0,0,0,0,1,0.4416180372288599,-0.06393078965642278,-0.77857607423676,-0.27885236262350616,-0.8942869991657044,0.7739348563123541,1.5217754561700554,0,1,0,1,0.5518348616398346,1.9453305837716912,-0.4368971559486937,0,1,0,0,0,0,1,0,0,1,0,0,1,0
6,1,-0.36878670986430717,1,-0.31716224314794206,-1.2788969511601158,0,1,0.4644998442999947,0,0,0,0,0,0,0,1,1,0.18904282605259232,-0.975161640626202,-0.8667224318888199,-1.029123405704411,-0.973079878624294,0.7849391841426272,1.7605764128521486,0,1,1,1,1.5904700648812444,-0.037660197604401605,-0.2179969010117286,0,1,0,0,0,1,1,0,0,0,0,1,1,0
7,1,0.882209488888564,1,1.3488384120511598,1.0436463744987847,0,1,0.1706550176468634,0,1,1,0,0,1,0,1,1,-0.6467817214583467,0.1636287124598044,-0.8847698169206231,-0.1480274966953464,-0.8217203019839298,0.7886923895937618,1.1635740211469159,0,1,1,0,-0.48680034160157515,-0.5475315905509068,-0.33739704006825505,1,0,0,0,1,0,1,0,0,1,0,0,0,1
8,1,1.1129675714963572,0,-0.6503623741877624,-0.7084477132789823,1,1,-0.07421567123074606,0,0,0,0,0,0,0,1,1,0.3219771477243122,-0.5006932391321678,-0.10399600309382138,-0.4284612278160281,-0.8335813169328107,0.7556659454353598,1.4023749778290089,0,1,0,1,1.5904700648812444,0.07575486699260034,-0.9656692003418821,0,1,0,0,0,0,1,0,0,0,0,1,1,0
9,1,0.015810094482014703,0,-0.6503623741877624,-1.0344187063539156,0,1,-0.12318980900626794,1,0,0,0,0,0,0,0,0,0.38844430856017215,-0.7840284268553199,-0.6619531162498324,-0.8212953112794797,-0.8256406258362103,0.7748381135233274,1.8202766520226719,0,1,0,1,1.5904700648812444,0.48360470537456607,-0.9656692003418821,0,1,0,0,0,1,1,0,0,1,0,0,0,1
10,1,1.3352729770855498,0,-0.6503623741877624,-0.871433209816449,0,1,0.4155257065244728,0,1,0,0,1,1,0,0,1,1.004927225312773,-0.5119013278538126,-0.7341899008404794,-0.5816649497982739,-0.8060823452102208,0.6297093730828047,1.879976891193195,0,1,0,1,0.5518348616398346,1.6549615438572327,-0.9201834330822529,0,1,0,0,0,0,1,0,0,1,0,0,1,0
11,1,0.18232783174844416,0,-0.6503623741877624,-0.7084477132789823,0,1,0.4155257065244728,0,1,0,0,0,0,0,1,1,0.3203154687034158,-0.5321994412867125,-0.36903744295878516,-0.531699930573337,-0.8506158308552603,0.8586734720403036,1.1038737819763926,0,1,0,0,-0.48680034160157515,0.5520603175198178,-0.8661690844614434,0,1,0,0,0,0,1,0,0,1,0,0,1,0
12,1,1.2067922864028224,1,-0.31716224314794206,-1.2788969511601158,0,1,-0.41703463565939924,0,1,0,0,1,0,0,1,0,-0.8162729815897893,-0.9885098565250111,-0.8847698169206231,-1.045014068775879,-0.8598720723054281,0.8085979319845755,1.8202766520226719,0,1,1,0,-0.48680034160157515,1.915641271321955,-0.7353975035900098,1,0,0,0,0,1,1,0,0,1,0,0,1,0
13,1,-1.7634784179333864,0,-0.6503623741877624,-1.1974042028913823,0,1,0.3665515687489509,0,0,1,0,0,1,1,1,1,-0.7847010801927561,-0.9479136296592114,-0.8847698169206231,-1.0129046683239777,-0.8742544237539913,0.8193887457773098,1.2232742603174391,0,1,0,0,-0.48680034160157515,0.40952325217594077,-0.7098117595064684,1,0,0,0,0,1,1,0,0,1,0,0,1,0
14,1,-1.6113302315985778,0,-0.6503623741877624,-0.7899404615477156,1,1,-0.46600877343492114,0,1,1,0,1,1,0,0,1,1.4004068322861398,-0.4042330739923438,-0.38298637078768544,-0.431117233657756,-0.8994596880713234,0.8630221959917862,1.2829744994879624,0,1,0,0,-0.48680034160157515,1.1441919073811972,-0.3004398541698064,0,0,0,0,0,0,1,0,0,1,0,0,1,0
15,1,-0.49895793595075455,0,-0.6503623741877624,-0.6677013391446156,0,1,-0.5639570489859649,0,0,0,1,1,1,1,1,1,0.9866487560829117,-0.3394114900077136,-0.7065637008474246,-0.47895326002664296,-0.8600361110656488,0.9984406893338814,1.2829744994879624,0,1,0,0,-0.48680034160157515,1.292260261827971,-0.8547976426465361,0,1,0,0,0,0,1,0,0,1,0,0,1,0
16,1,-0.046739715455628855,0,-0.6503623741877624,-0.993672332219549,0,1,-0.6619053245370087,0,1,0,0,0,0,0,1,1,0.3236388267452086,-0.7386003664658191,-0.8679507879381049,-0.8423793208588205,-1.3650741906586823,1.4170623454211764,1.1635740211469159,0,1,0,0,-0.48680034160157515,-0.2672796093374731,-0.4909115045695033,0,1,0,0,0,0,1,0,0,1,0,0,1,0
17,1,-2.0136776576839606,0,-0.6503623741877624,-0.34173034606968217,1,1,-0.2701122223328336,0,0,0,0,0,0,0,1,1,0.37681255541389636,-0.25049692790490224,-0.009707865195336228,-0.20270771157360057,-1.3529045398202035,1.1821760168877398,1.3426747386584856,0,1,0,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,1,0,0,0,0,1,0,0,1,0,0,1,0
18,1,-0.611378540298141,0,-0.6503623741877624,-1.1566578287570157,1,1,-0.9067760134146181,0,0,0,0,1,1,0,1,1,1.0198823365008416,-0.831464235421336,-0.7354300680056229,-0.8766700664501174,-1.3529045398202035,1.1821760168877398,1.641175934511102,0,1,0,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,1,0,0,0,1,1,0,0,1,0,0,1,0
19,1,-0.2496039639020404,1,0.016037887891878343,-0.015759352994748767,1,1,-0.514982911210443,0,0,0,0,0,0,0,1,1,0.33693225891238077,0.010135261206886759,0.9044725022533359,0.2735759115425641,-1.3529045398202035,1.1821760168877398,1.7605764128521486,0,1,1,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,1,0,0,0,0,1,0,0,1,0,0,1,0
20,1,-1.8496957235231113,1,-0.31716224314794206,-0.34173034606968217,0,1,-0.41703463565939924,0,0,1,0,1,1,1,1,1,0.9434451015396028,-0.021768077949605714,-0.4283883001477978,-0.14551458709476287,-1.3529045398202035,1.1821760168877398,1.8202766520226719,0,1,1,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,0,0,0,0,0,1,0,0,1,0,0,1,0
21,1,-0.21241218502019826,0,-0.6503623741877624,0.8806608779613181,1,1,-0.7598536000880525,1,1,0,1,1,1,1,1,0,0.587845791067752,0.913290993137056,-0.11430710723830048,0.6868762476418797,-1.3529045398202035,1.1821760168877398,1.4023749778290089,0,1,0,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,1,0,0,0,1,0,0,1,0,1,0,0,1,0
22,1,-1.4617178483693494,0,-0.6503623741877624,-1.238150577025749,0,1,-0.514982911210443,0,0,0,0,0,0,0,1,1,0.18571946801079903,-0.9448909758110512,-0.8536593377493078,-1.001320853095732,-1.3529045398202035,1.1821760168877398,1.641175934511102,0,1,0,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,1,0,0,0,1,1,0,0,1,0,0,1,0
23,1,0.31926119944977194,0,-0.6503623741877624,-0.4639694684727822,0,1,-0.6129311867614868,1,0,0,0,1,0,0,1,1,-0.7597758948793085,-0.6355433144603025,-0.8847698169206231,-0.7658367924554892,-1.3529045398202035,1.1821760168877398,1.8202766520226719,0,1,0,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,0,0,0,0,0,1,0,0,1,0,0,1,0
24,1,-1.245329316693177,0,-0.6503623741877624,-0.21949122366658214,0,1,-0.3680604978838774,1,0,0,0,0,0,0,0,0,-1.1303303165392278,-0.6509875312027263,-0.8847698169206231,-0.7291901941136453,-1.3529045398202035,1.1821760168877398,1.4620752169995321,0,1,1,0,-0.48680034160157515,0.6033547506535181,-1.0083121071477843,0,0,0,0,0,0,1,0,0,0,1,0,1,0
