,Churn Label,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,City,Zip Code,Latitude,Longitude,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population
0,1,0.8729115441681035,No,-0.6503623741877634,-1.278896951160118,None,No,0.0,No,Yes,DSL,-0.6129311867614882,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,-0.8345514508196499,-0.9887525513595348,0.0,20,-0.8847698169206241,-1.038225722702078,Los Angeles,90022,-0.8804000042695442,0.742704715035264,Male,1.8799768911931996,No,Yes,No,No,-0.48680034160159025,2.201235437737335
1,1,0.7621814752244371,Yes,-0.3171622431479425,-0.9936723322195508,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,-0.17216394678179023,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.5280253463154813,-0.7267965722412519,0.0,0,-0.4231914091700539,-0.7016179915516845,Los Angeles,90063,-0.8721126040896142,0.7294041829795659,Female,1.6411759345111059,No,Yes,Yes,Yes,0.5518348616398517,1.58508765245483
2,1,-1.032321855824445,No,-0.6503623741877634,-0.5862085908758833,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,1.5419308753614798,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.0198823365008454,-0.23291258398531298,45.61,0,-0.6438939201021715,-0.3921182727175861,Los Angeles,90065,-0.8459628005405947,0.7087592321935493,Male,1.4620752169995357,No,Yes,No,Yes,2.6291052681227356,1.2005448698654115
3,1,0.7917658447895388,Yes,-0.3171622431479425,-0.300983971935316,Offer C,Yes,19.76,No,Yes,Fiber Optic,-0.4170346356594002,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.121244756775532,0.10330801449725364,13.43,0,-0.30130069351023087,-0.013719458848598327,Inglewood,90303,-0.9158481728022233,0.6609859304556094,Female,1.8799768911931996,No,Yes,Yes,Yes,0.5518348616398517,0.2665607030549183
4,1,-1.3585951887424235,Yes,-0.3171622431479425,0.18797251767708495,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,-0.3190863601083562,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.39010598758107146,0.259360793096059,0.0,0,-0.6081416723984617,0.023726384352320037,Whittier,90602,-0.901336615515361,0.8060134838087695,Female,1.9993773695342463,No,Yes,Yes,Yes,0.5518348616398517,0.1950321525191683
5,1,0.20092372118936522,No,-0.6503623741877634,-0.21949122366658252,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,-0.12318980900626822,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.4416180372288629,-0.06393078965642146,0.0,10,-0.7785760742367608,-0.2788523626235043,Pico Rivera,90660,-0.894286999165638,0.7739348563126525,Female,1.521775456170059,No,Yes,No,Yes,0.5518348616398517,1.9453305837716939
6,1,-0.36878670986430717,Yes,-0.3171622431479425,-1.278896951160118,Offer E,Yes,15.28,No,Yes,Fiber Optic,0.46449984429999575,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.18904282605259493,-0.9751616406262019,0.0,0,-0.8667224318888208,-1.0291234057044085,Los Alamitos,90720,-0.9730798786242276,0.7849391841429255,Female,1.7605764128521526,No,Yes,Yes,Yes,1.5904700648812937,-0.03766019760440166
7,1,0.882209488888564,Yes,1.3488384120511618,1.0436463744987867,Offer B,No,0.0,No,Yes,DSL,0.17065501764686375,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.6467817214583452,0.16362871245980604,40.95,0,-0.8847698169206241,-0.14802749669534468,Sierra Madre,91024,-0.8217203019838635,0.7886923895940601,Male,1.1635740211469185,No,Yes,Yes,No,-0.48680034160159025,-0.5475315905509076
8,1,1.1129675714963572,No,-0.6503623741877634,-0.7084477132789835,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,-0.07421567123074622,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.321977147724315,-0.5006932391321671,0.0,0,-0.10399600309382162,-0.4284612278160262,Pasadena,91106,-0.8335813169327444,0.755665945435658,Female,1.4023749778290122,No,Yes,No,Yes,1.5904700648812937,0.07575486699260045
9,1,0.015810094482014703,No,-0.6503623741877634,-1.0344187063539174,Offer E,Yes,26.95,No,Yes,Fiber Optic,-0.12318980900626822,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.38844430856017503,-0.7840284268553197,11.05,0,-0.6619531162498332,-0.8212953112794774,Pasadena,91107,-0.825640625836144,0.7748381135236256,Female,1.820276652022676,No,Yes,No,Yes,1.5904700648812937,0.48360470537456673
